Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Blanco,Texas,709.25,11931.00,16.82,2345,697,19,887
Heard,Georgia,296.03,11923.00,40.28,1669,823,17,993
Linn,Missouri,615.56,11920.00,19.36,2265,1189,12,1309
Marion,Kansas,898.27,11884.00,13.23,2459,1042,24,1282
Charlotte,Virginia,475.27,11880.00,25.00,2061,785,16,945
Lake,Michigan,567.37,11853.00,20.89,2210,394,11,504
Zavala,Texas,1297.41,11840.00,9.13,2602,1867,43,2297
Owyhee,Idaho,7665.51,11823.00,1.54,3028,1031,26,1291
Chippewa,Minnesota,581.12,11800.00,20.31,2231,1412,35,1762
Big Horn,Wyoming,3137.10,11790.00,3.76,2853,1101,32,1421
Jackson,Tennessee,308.32,11786.00,38.23,1712,1270,35,1620
Blackford,Indiana,165.08,11758.00,71.23,1160,1281,28,1561
Lyon,Iowa,587.65,11755.00,20.00,2241,1483,41,1893
Barton,Missouri,591.92,11754.00,19.86,2248,1164,13,1294
Northampton,Virginia,211.61,11710.00,55.34,1361,731,34,1071
Decatur,Tennessee,333.85,11663.00,34.93,1799,1555,37,1925
Morrow,Oregon,2031.61,11603.00,5.71,2745,1055,14,1195
Washington,North Carolina,348.14,11580.00,33.26,1840,1008,31,1318
Grant,West Virginia,477.37,11568.00,24.23,2089,1149,27,1419
Gates,North Carolina,340.45,11562.00,33.96,1826,694,12,814
Montgomery,Missouri,536.25,11551.00,21.54,2187,1018,10,1118
Wabash,Illinois,223.25,11520.00,51.60,1425,1314,15,1464
Ramsey,North Dakota,1186.85,11519.00,9.71,2577,1646,30,1946
Shelby,Iowa,590.78,11454.00,19.39,2264,1206,34,1546
Marshall,Illinois,862.91,11438.00,13.26,2458,888,17,1058
Custer,Montana,3783.36,11402.00,3.01,2908,1154,15,1304
Nantucket,Massachusetts,44.97,11399.00,253.48,470,1237,2,1257
Valley,Idaho,3664.52,11392.00,3.11,2902,819,7,889
Desha,Arkansas,768.15,11361.00,14.79,2405,1352,24,1592
Greensville,Virginia,295.23,11336.00,38.40,1705,1493,24,1733
Trousdale,Tennessee,114.19,11284.00,98.82,898,2429,22,2649
Rio Grande,Colorado,911.96,11267.00,12.35,2496,746,13,876
Pope,Minnesota,669.71,11249.00,16.80,2346,873,6,933
Cherokee,Iowa,576.91,11235.00,19.47,2258,1513,37,1883
Clay,North Carolina,214.75,11231.00,52.30,1419,669,18,849
Cottonwood,Minnesota,638.61,11196.00,17.53,2327,1419,20,1619
Martin,Kentucky,308.44,11195.00,36.30,1763,967,19,1157
Bacon,Georgia,258.58,11164.00,43.17,1602,1373,36,1733
Sussex,Virginia,490.22,11159.00,22.76,2134,1119,20,1319
Duval,Texas,1793.48,11157.00,6.22,2722,1194,39,1584
Pulaski,Georgia,249.03,11137.00,44.72,1576,902,40,1302
Alleghany,North Carolina,235.06,11137.00,47.38,1509,936,5,986
Noble,Oklahoma,731.90,11131.00,15.21,2390,1362,14,1502
Jefferson Davis,Mississippi,408.44,11128.00,27.25,2011,1039,32,1359
Pushmataha,Oklahoma,1395.84,11096.00,7.95,2654,999,14,1139
Johnston,Oklahoma,642.94,11085.00,17.24,2332,1343,20,1543
Iron,Michigan,1166.15,11066.00,9.49,2586,930,51,1440
Fergus,Montana,4339.80,11050.00,2.55,2946,1078,29,1368
Louisa,Iowa,401.77,11035.00,27.47,2004,1239,48,1719
Roosevelt,Montana,2354.79,11004.00,4.67,2790,1582,52,2102
Essex,Virginia,257.12,10953.00,42.60,1610,673,8,753
Madison,Louisiana,624.44,10951.00,17.54,2326,1554,37,1924
Green,Kentucky,286.03,10941.00,38.25,1711,1163,13,1293
Lincoln,Washington,2310.49,10939.00,4.73,2787,348,6,408
Washita,Oklahoma,1003.17,10916.00,10.88,2540,1061,9,1151
Chattahoochee,Georgia,248.74,10907.00,43.85,1589,3395,12,3515
Owen,Kentucky,351.10,10901.00,31.05,1899,631,11,741
Watonwan,Minnesota,434.95,10897.00,25.05,2057,1202,8,1282
Camden,North Carolina,240.56,10867.00,45.17,1563,617,5,667
West Carroll,Louisiana,359.65,10830.00,30.11,1923,1164,40,1564
Candler,Georgia,243.04,10803.00,44.45,1580,931,61,1541
Richland,Montana,2084.14,10803.00,5.18,2767,1090,15,1240
Mackinac,Michigan,1021.57,10799.00,10.57,2548,466,3,496
Sierra,New Mexico,4178.96,10791.00,2.58,2939,707,45,1157
Box Butte,Nebraska,1075.29,10783.00,10.03,2564,922,8,1002
Custer,Nebraska,2575.52,10777.00,4.18,2817,840,18,1020
Cumberland,Illinois,346.02,10766.00,31.11,1896,1239,31,1549
Bradley,Arkansas,649.23,10763.00,16.58,2352,1341,31,1651
Switzerland,Indiana,220.63,10751.00,48.73,1478,762,8,842
Carbon,Montana,2048.79,10725.00,5.23,2764,848,13,978
Franklin,Texas,284.39,10725.00,37.71,1728,704,26,964
Red Willow,Nebraska,716.99,10724.00,14.96,2396,1182,12,1302
Pike,Arkansas,600.62,10718.00,17.84,2314,992,22,1212
Colfax,Nebraska,411.66,10709.00,26.01,2034,1555,20,1755
Guthrie,Iowa,590.62,10689.00,18.10,2306,1112,28,1392
Coosa,Alabama,650.93,10663.00,16.38,2354,944,24,1184
Evans,Georgia,182.85,10654.00,58.27,1325,933,27,1203
Monroe,Kentucky,329.37,10650.00,32.33,1853,1258,39,1648
Lake,Minnesota,2109.29,10641.00,5.04,2775,754,18,934
Walsh,North Dakota,1281.93,10641.00,8.30,2637,1784,24,2024
Carroll,Kentucky,128.57,10631.00,82.69,1029,948,13,1078
Hancock,Iowa,571.01,10630.00,18.62,2292,1395,33,1725
Lancaster,Virginia,133.25,10603.00,79.57,1054,679,15,829
Mitchell,Iowa,469.13,10586.00,22.57,2151,1230,40,1630
Middlesex,Virginia,130.31,10582.00,81.21,1040,542,18,722
Crawford,Indiana,305.64,10577.00,34.61,1811,946,14,1086
Mountrail,North Dakota,1825.30,10545.00,5.78,2742,1281,17,1451
Sabine,Texas,491.39,10542.00,21.45,2192,503,40,903
Oregon,Missouri,789.80,10529.00,13.33,2456,847,3,877
Clay,Texas,1088.72,10471.00,9.62,2581,1014,16,1174
Perry,Arkansas,551.40,10455.00,18.96,2281,817,10,917
Butte,South Dakota,2249.90,10429.00,4.64,2791,1006,20,1206
Lanier,Georgia,185.26,10423.00,56.26,1348,749,13,879
Noxubee,Mississippi,695.14,10417.00,14.99,2395,1243,31,1553
Barnes,North Dakota,1491.55,10415.00,6.98,2692,1315,31,1625
Alcona,Michigan,674.59,10405.00,15.42,2387,443,25,693
Roberts,South Dakota,569.32,10394.00,18.26,2305,1284,36,1644
Wilcox,Alabama,888.50,10373.00,11.67,2515,1246,26,1506
Winnebago,Iowa,400.49,10354.00,25.85,2040,1330,31,1640
Ralls,Missouri,469.78,10309.00,21.94,2173,1003,12,1123
Scott,Arkansas,892.32,10281.00,11.52,2520,925,14,1065
Runnels,Texas,1050.95,10264.00,9.77,2574,1263,36,1623
Martin,Indiana,335.74,10255.00,30.54,1913,812,14,952
Love,Oklahoma,514.00,10253.00,19.95,2244,1441,13,1571
Keokuk,Iowa,579.18,10246.00,17.69,2319,930,29,1220
Nemaha,Kansas,717.43,10231.00,14.26,2422,1500,50,2000
Clinton,Kentucky,197.25,10218.00,51.80,1422,1419,29,1709
Washington,Idaho,1452.98,10194.00,7.02,2690,1191,21,1401
Early,Georgia,512.59,10190.00,19.88,2246,1146,44,1586
Todd,South Dakota,1388.56,10177.00,7.33,2681,1221,29,1511
St. Helena,Louisiana,408.40,10132.00,24.81,2069,888,9,978
Iron,Missouri,550.26,10125.00,18.40,2301,901,5,951
Dimmit,Texas,1328.88,10124.00,7.62,2667,1602,27,1872
Chicot,Arkansas,644.30,10118.00,15.70,2374,1607,38,1987
Bullock,Alabama,622.81,10101.00,16.22,2361,1194,39,1584
Nowata,Oklahoma,565.78,10076.00,17.81,2315,1119,16,1279
Latimer,Oklahoma,722.08,10073.00,13.95,2432,827,9,917
Metcalfe,Kentucky,289.65,10071.00,34.77,1808,990,23,1220
Franklin,Iowa,581.97,10070.00,17.30,2330,1105,20,1305
Holt,Nebraska,2412.40,10067.00,4.17,2818,794,16,954
Yuma,Colorado,2364.41,10019.00,4.24,2813,817,17,987
Emery,Utah,4462.31,10012.00,2.24,2964,890,9,980
Nome Census Area,Alaska,88695.41,10004.00,0.11,3136,331,0,331
Howard,Missouri,463.85,10001.00,21.56,2186,1050,7,1120
Carroll,Mississippi,628.24,9947.00,15.83,2370,1203,25,1453
Cumberland,Virginia,297.46,9932.00,33.39,1837,412,9,502
Caldwell,Louisiana,529.43,9918.00,18.73,2285,1090,26,1350
Montgomery,Iowa,424.10,9917.00,23.38,2114,973,36,1333
Leslie,Kentucky,400.84,9877.00,24.64,2076,851,5,901
Marion,Texas,1037.10,9854.00,9.50,2584,523,33,853
Grundy,Missouri,435.28,9850.00,22.63,2146,1009,34,1349
Jackson,Minnesota,702.98,9846.00,14.01,2430,966,10,1066
Ochiltree,Texas,917.63,9836.00,10.72,2544,1046,25,1296
North Slope Borough,Alaska,35572.58,9832.00,0.28,3128,1023,4,1063
Sublette,Wyoming,4886.54,9831.00,2.01,2985,685,7,755
Stevens,Minnesota,563.60,9805.00,17.40,2328,762,9,852
Wilkes,Georgia,469.49,9777.00,20.82,2215,1054,23,1284
Lewis,Missouri,505.04,9776.00,19.36,2266,838,12,958
Montgomery,Mississippi,406.98,9775.00,24.02,2095,1249,40,1649
Grand,Utah,3671.54,9754.00,2.66,2931,720,3,750
Kemper,Mississippi,766.18,9742.00,12.72,2473,937,25,1187
Lowndes,Alabama,715.91,9726.00,13.59,2444,1355,52,1875
Sac,Iowa,575.01,9721.00,16.91,2343,1216,18,1396
Yellow Medicine,Minnesota,759.10,9709.00,12.79,2470,1007,17,1177
Marshall,Kansas,944.29,9707.00,10.28,2558,1078,23,1308
Linn,Kansas,594.06,9703.00,16.33,2355,775,12,895
Clear Creek,Colorado,395.23,9700.00,24.54,2077,387,2,407
Webster,Mississippi,420.94,9689.00,23.02,2128,1130,32,1450
Calhoun,Iowa,569.97,9668.00,16.96,2340,1316,11,1426
Johnson,Georgia,303.01,9643.00,31.82,1874,1095,47,1565
Stillwater,Montana,1795.35,9642.00,5.37,2757,705,13,835
Tunica,Mississippi,454.67,9632.00,21.18,2200,1014,25,1264
Jasper,Illinois,494.51,9610.00,19.43,2261,1119,19,1309
Parmer,Texas,880.78,9605.00,10.91,2537,1199,35,1549
White Pine,Nevada,8875.65,9580.00,1.08,3064,558,5,608
Brown,Kansas,570.87,9564.00,16.75,2348,1220,32,1540
Humboldt,Iowa,434.35,9558.00,22.01,2171,1157,25,1407
Ritchie,West Virginia,451.99,9554.00,21.14,2202,635,11,745
Hickory,Missouri,399.09,9544.00,23.91,2098,641,14,781
Rice,Kansas,726.24,9537.00,13.13,2465,1061,1,1071
Greenlee,Arizona,1843.13,9498.00,5.15,2769,563,10,663
Catahoula,Louisiana,708.03,9494.00,13.41,2450,1066,37,1436
McCormick,South Carolina,479.67,9463.00,19.73,2251,976,27,1246
Beaverhead,Montana,5541.62,9453.00,1.71,3015,883,8,963
McLean,North Dakota,2110.88,9450.00,4.48,2798,1232,30,1532
Blaine,Oklahoma,928.42,9429.00,10.16,2561,1012,8,1092
Jones,North Carolina,470.71,9419.00,20.01,2240,764,16,924
Irwin,Georgia,354.34,9416.00,26.57,2025,904,28,1184
St. Clair,Missouri,669.98,9397.00,14.03,2429,785,8,865
Clarke,Iowa,431.17,9395.00,21.79,2178,966,21,1176
Wayne,Nebraska,442.92,9385.00,21.19,2199,1014,7,1084
Stephens,Texas,896.72,9366.00,10.44,2552,760,25,1010
Marshall,Minnesota,557.88,9336.00,16.73,2350,814,16,974
Montmorency,Michigan,546.66,9328.00,17.06,2337,378,18,558
Hamilton,Nebraska,542.88,9324.00,17.18,2334,906,17,1076
Rock,Minnesota,482.46,9315.00,19.31,2272,1184,17,1354
Benewah,Idaho,776.62,9298.00,11.97,2506,641,9,731
Charles Mix,South Dakota,1097.49,9292.00,8.47,2631,1328,21,1538
Swift,Minnesota,742.08,9266.00,12.49,2482,908,18,1088
Emmet,Iowa,395.88,9208.00,23.26,2121,1183,40,1583
McLean,Kentucky,240.13,9207.00,38.34,1707,848,27,1118
Brewster,Texas,6183.73,9203.00,1.49,3033,894,12,1014
Valdez-Cordova Census Area,Alaska,17081.43,9202.00,0.54,3111,521,2,541
Livingston,Kentucky,313.13,9194.00,29.36,1943,779,19,969
Ozark,Missouri,744.97,9174.00,12.31,2497,673,16,833
Montgomery,Georgia,239.52,9172.00,38.29,1709,867,21,1077
Pratt,Kansas,735.05,9164.00,12.47,2484,809,23,1039
Howard,Iowa,473.25,9158.00,19.35,2267,1016,22,1236
Deer Lodge,Montana,736.53,9140.00,12.41,2490,1058,14,1198
Somervell,Texas,186.46,9128.00,48.95,1475,1051,14,1191
Pipestone,Minnesota,465.06,9126.00,19.62,2256,1031,24,1271
Alger,Michigan,915.07,9108.00,9.95,2569,590,5,640
Phelps,Nebraska,539.79,9034.00,16.74,2349,946,9,1036
Richmond,Virginia,191.49,9023.00,47.12,1516,1431,11,1541
Caldwell,Missouri,426.39,9020.00,21.15,2201,764,12,884
Forest,Wisconsin,1014.07,9004.00,8.88,2613,1006,26,1266
Davis,Iowa,502.19,9000.00,17.92,2311,777,24,1017
Claiborne,Mississippi,487.41,8988.00,18.44,2300,1004,30,1304
Montgomery,Arkansas,779.88,8986.00,11.52,2519,746,31,1056
Custer,South Dakota,1557.00,8972.00,5.76,2743,775,12,895
Wilkinson,Georgia,447.31,8954.00,20.02,2239,912,26,1172
Rosebud,Montana,5010.40,8937.00,1.78,3007,1185,44,1625
Jack,Texas,910.66,8935.00,9.81,2571,605,16,765
Perry,Alabama,719.66,8923.00,12.40,2493,1077,27,1347
Cheyenne,Nebraska,1196.29,8910.00,7.45,2676,910,18,1090
Greene,Iowa,569.57,8888.00,15.60,2377,747,10,847
Palo Alto,Iowa,563.84,8886.00,15.76,2373,1039,22,1259
Gallatin,Kentucky,101.23,8869.00,87.61,993,675,23,905
Lee,Arkansas,602.62,8857.00,14.70,2407,1651,34,1991
Cuming,Nebraska,570.62,8846.00,15.50,2383,1003,11,1113
Modoc,California,3917.77,8841.00,2.26,2962,341,3,371
Mathews,Virginia,85.93,8834.00,102.80,871,564,12,684
Clearwater,Minnesota,998.94,8818.00,8.83,2614,731,14,871
Crittenden,Kentucky,359.95,8806.00,24.46,2081,578,17,748
Woods,Oklahoma,1286.45,8793.00,6.84,2700,1192,11,1302
Cloud,Kansas,715.34,8786.00,12.28,2498,972,2,992
Clearwater,Idaho,2457.27,8756.00,3.56,2863,1016,12,1136
Benton,Indiana,406.42,8748.00,21.52,2188,934,14,1074
Hancock,Kentucky,187.65,8722.00,46.48,1527,827,16,987
Yoakum,Texas,799.71,8713.00,10.90,2538,863,27,1133
Kiowa,Oklahoma,1015.23,8708.00,8.58,2625,804,16,964
Maries,Missouri,494.39,8697.00,17.59,2321,612,7,682
Allendale,South Carolina,408.09,8688.00,21.29,2196,887,15,1037
Carroll,Missouri,694.62,8679.00,12.49,2481,1053,23,1283
Jenkins,Georgia,347.28,8676.00,24.98,2063,831,42,1251
Monroe,Missouri,647.65,8644.00,13.35,2455,993,11,1103
Wilcox,Georgia,377.71,8635.00,22.86,2132,812,46,1272
Wilkinson,Mississippi,678.11,8630.00,12.73,2472,635,27,905
Monona,Iowa,694.07,8615.00,12.41,2489,781,30,1081
Dawson,Montana,2371.87,8613.00,3.63,2859,1095,30,1395
Lucas,Iowa,430.59,8600.00,19.97,2242,743,21,953
Madison,Montana,2643.17,8600.00,3.25,2887,719,8,799
Tyler,West Virginia,256.29,8591.00,33.52,1833,648,7,718
Dawes,Nebraska,1396.46,8589.00,6.15,2725,721,18,901
Archer,Texas,903.11,8553.00,9.47,2587,787,12,907
Mitchell,Texas,911.09,8545.00,9.38,2591,593,30,893
Terrell,Georgia,335.44,8531.00,25.43,2048,784,44,1224
Wilson,Kansas,570.42,8525.00,14.95,2398,982,12,1102
Clay,West Virginia,341.90,8508.00,24.88,2066,385,8,465
Sitka City and Borough,Alaska,452.33,8493.00,18.78,2283,316,0,316
Trimble,Kentucky,151.65,8471.00,55.86,1350,639,5,689
Hamilton,Texas,835.91,8461.00,10.12,2562,752,26,1012
Hancock,Georgia,471.84,8457.00,17.92,2310,896,60,1496
Doddridge,West Virginia,319.72,8448.00,26.42,2028,503,6,563
Johnson,Wyoming,4154.15,8445.00,2.03,2983,712,10,812
Red River,Louisiana,389.09,8442.00,21.70,2179,864,38,1244
Graham,North Carolina,292.08,8441.00,28.90,1958,569,12,689
Lafayette,Florida,543.41,8422.00,15.50,2384,1604,25,1854
Cedar,Nebraska,740.31,8402.00,11.35,2525,749,12,869
Platte,Wyoming,2084.21,8393.00,4.03,2831,605,11,715
Turner,South Dakota,617.06,8384.00,13.59,2443,1113,53,1643
Marion,Georgia,400.64,8359.00,20.86,2214,542,18,722
Liberty,Florida,835.56,8354.00,10.00,2568,1051,16,1211
Harrison,Missouri,722.50,8352.00,11.56,2518,924,14,1064
Knox,Nebraska,1108.35,8332.00,7.52,2674,854,12,974
Kusilvak Census Area,Alaska,23652.01,8314.00,0.35,3122,1217,3,1247
Bracken,Kentucky,205.61,8303.00,40.38,1664,537,6,597
Daviess,Missouri,563.24,8278.00,14.70,2408,733,11,843
Warren,Indiana,364.68,8265.00,22.66,2144,767,15,917
Benton,Mississippi,406.62,8259.00,20.31,2230,955,24,1195
Quay,New Mexico,2874.35,8253.00,2.87,2917,425,8,505
Nevada,Arkansas,617.84,8252.00,13.36,2454,812,23,1042
Pocahontas,West Virginia,940.28,8247.00,8.77,2616,606,9,696
Oscoda,Michigan,565.73,8241.00,14.57,2412,415,20,615
San Augustine,Texas,530.66,8237.00,15.52,2380,546,30,846
Lyon,Kentucky,213.84,8210.00,38.39,1706,1544,18,1724
Choctaw,Mississippi,418.18,8210.00,19.63,2255,718,16,878
Baraga,Michigan,898.26,8209.00,9.14,2601,785,34,1125
Conejos,Colorado,1287.39,8205.00,6.37,2716,460,10,560
Houston,Tennessee,200.29,8201.00,40.95,1649,1048,33,1378
Murray,Minnesota,704.70,8194.00,11.63,2516,963,8,1043
Mercer,North Dakota,1042.96,8187.00,7.85,2660,1082,9,1172
San Miguel,Colorado,1286.61,8179.00,6.36,2718,845,0,845
Coffey,Kansas,626.95,8179.00,13.05,2467,721,14,861
Coleman,Texas,1261.95,8175.00,6.48,2712,735,31,1045
Shannon,Missouri,1003.82,8166.00,8.13,2645,589,12,709
Atkinson,Georgia,339.38,8165.00,24.06,2094,988,17,1158
Lake,Colorado,1692.08,8127.00,4.80,2785,686,0,686
Twiggs,Georgia,358.40,8120.00,22.66,2145,697,40,1097
Hamilton,Illinois,434.67,8116.00,18.67,2288,796,18,976
Webster,West Virginia,553.47,8114.00,14.66,2410,412,7,482
Greene,Alabama,647.11,8111.00,12.53,2480,896,33,1226
Schoolcraft,Michigan,1171.36,8094.00,6.91,2696,273,5,323
Seminole,Georgia,235.23,8090.00,34.39,1817,915,18,1095
Perry,Tennessee,414.73,8076.00,19.47,2259,1048,28,1328
Humphreys,Mississippi,418.49,8064.00,19.27,2273,938,29,1228
Prairie,Arkansas,647.96,8062.00,12.44,2487,885,21,1095
Traill,North Dakota,861.95,8036.00,9.32,2594,1003,18,1183
Keith,Nebraska,1061.60,8034.00,7.57,2668,691,6,751
Lemhi,Idaho,4563.39,8027.00,1.76,3010,514,9,604
Taylor,Georgia,376.69,8020.00,21.29,2195,778,25,1028
Butler,Nebraska,584.91,8016.00,13.70,2439,840,12,960
Winkler,Texas,841.11,8010.00,9.52,2582,734,21,944
Clay,Kansas,645.30,8002.00,12.40,2492,826,27,1096
Turner,Georgia,285.39,7985.00,27.98,1986,983,34,1323
McCulloch,Texas,928.80,7984.00,8.60,2622,559,18,739
Franklin city,Virginia,8.21,7967.00,970.40,153,1036,28,1316
Cleveland,Arkansas,597.78,7956.00,13.31,2457,938,25,1188
Lincoln,Georgia,210.38,7921.00,37.65,1729,771,25,1021
Ballard,Kentucky,246.66,7888.00,31.98,1870,370,8,450
Kane,Utah,3990.23,7886.00,1.98,2988,608,5,658
Searcy,Arkansas,666.10,7881.00,11.83,2512,667,15,817
Decatur,Iowa,531.88,7870.00,14.80,2404,577,9,667
Lake,Oregon,8138.98,7869.00,0.97,3079,393,6,453
Richardson,Nebraska,551.84,7865.00,14.25,2423,694,18,874
Anderson,Kansas,579.65,7858.00,13.56,2445,824,0,824
Wheeler,Georgia,295.48,7855.00,26.58,2024,616,24,856
Boise,Idaho,1899.24,7831.00,4.12,2823,319,2,339
Gilmer,West Virginia,338.50,7823.00,23.11,2125,726,8,806
Washakie,Wyoming,2238.55,7805.00,3.49,2870,888,26,1148
Thomas,Kansas,1074.69,7777.00,7.24,2685,1133,18,1313
Merrick,Nebraska,484.88,7755.00,15.99,2366,753,14,893
Newton,Arkansas,820.90,7753.00,9.44,2588,703,26,963
Franklin,Mississippi,563.78,7713.00,13.68,2440,795,22,1015
Monroe,Iowa,433.72,7707.00,17.77,2318,912,28,1192
Power,Idaho,1404.24,7681.00,5.47,2753,649,9,739
Goliad,Texas,852.01,7658.00,8.99,2607,433,13,563
Major,Oklahoma,570.70,7629.00,13.37,2453,948,12,1068
Ferry,Washington,2203.16,7627.00,3.46,2873,215,4,255
Northwest Arctic Borough,Alaska,3281.98,7621.00,2.32,2959,595,2,615
Clay,Tennessee,236.54,7615.00,32.19,1860,1074,31,1384
Doniphan,Kansas,393.41,7600.00,19.32,2270,959,7,1029
Crook,Wyoming,2854.41,7584.00,2.66,2930,422,11,532
Dade,Missouri,490.01,7561.00,15.43,2386,711,31,1021
Castro,Texas,894.43,7530.00,8.42,2633,908,30,1208
La Salle,Texas,907.19,7520.00,8.29,2638,1019,24,1259
Elliott,Kentucky,234.32,7517.00,32.08,1865,935,2,955
Pleasants,West Virginia,130.10,7460.00,57.34,1336,817,18,997
Lexington city,Virginia,2.50,7446.00,2978.40,32,1145,31,1455
Chariton,Missouri,751.18,7426.00,9.89,2570,661,6,721
Lee,Kentucky,208.86,7403.00,35.44,1789,1213,22,1433
Swisher,Texas,890.16,7397.00,8.31,2636,767,17,937
Valley,Montana,4925.82,7396.00,1.50,3031,858,11,968
Harney,Oregon,10133.17,7393.00,0.73,3100,283,6,343
Worth,Iowa,400.12,7381.00,18.45,2299,674,8,754
Rappahannock,Virginia,266.23,7370.00,27.68,1992,314,2,334
Childress,Texas,696.41,7306.00,10.49,2551,1338,17,1508
Hutchinson,South Dakota,812.90,7291.00,8.97,2608,800,26,1060
Dallam,Texas,1503.26,7287.00,4.85,2784,928,24,1168
Pepin,Wisconsin,231.98,7287.00,31.41,1882,837,7,907
Nicholas,Kentucky,195.17,7269.00,37.24,1738,478,7,548
Tillman,Oklahoma,871.13,7250.00,8.32,2635,762,16,922
Forest,Pennsylvania,427.19,7247.00,16.96,2339,1386,21,1596
Grand Isle,Vermont,81.81,7235.00,88.44,985,151,1,161
Thurston,Nebraska,393.58,7224.00,18.35,2302,818,11,928
Wallowa,Oregon,3146.19,7208.00,2.29,2961,145,5,195
Grant,Oregon,4528.54,7199.00,1.59,3021,259,1,269
Wolfe,Kentucky,222.17,7157.00,32.21,1859,459,5,509
Caribou,Idaho,1764.15,7155.00,4.06,2828,631,12,751
Adair,Iowa,569.27,7152.00,12.56,2478,834,31,1144
Kingman,Kansas,863.36,7152.00,8.28,2639,731,11,841
Grant,Kansas,574.80,7150.00,12.44,2488,969,17,1139
Pierce,Nebraska,573.25,7148.00,12.47,2483,607,20,807
Calhoun,West Virginia,279.25,7109.00,25.46,2047,238,0,238
Kit Carson,Colorado,2160.82,7097.00,3.28,2882,566,11,676
Brooks,Texas,943.36,7093.00,7.52,2673,771,36,1131
Union,Indiana,161.22,7054.00,43.75,1591,716,11,826
Grant,South Dakota,681.46,7052.00,10.35,2556,993,40,1393
Jefferson,Nebraska,570.19,7046.00,12.36,2495,626,1,636
Van Buren,Iowa,484.79,7044.00,14.53,2415,539,18,719
King and Queen,Virginia,315.14,7025.00,22.29,2165,337,8,417
Lake,Tennessee,165.78,7016.00,42.32,1613,1683,26,1943
Dallas,Arkansas,667.39,7009.00,10.50,2550,750,15,900
Bailey,Texas,826.80,7000.00,8.47,2632,811,18,991
Jefferson,Mississippi,519.93,6990.00,13.44,2449,637,27,907
Cameron,Louisiana,1284.89,6973.00,5.43,2755,556,6,616
Nemaha,Nebraska,407.38,6972.00,17.11,2336,623,14,763
Pendleton,West Virginia,696.05,6969.00,10.01,2565,634,7,704
Charles City,Virginia,182.82,6963.00,38.09,1718,427,15,577
Fremont,Iowa,511.15,6960.00,13.62,2442,570,10,670
Refugio,Texas,770.44,6948.00,9.02,2606,634,20,834
Wabaunsee,Kansas,794.30,6931.00,8.73,2617,670,14,810
Weston,Wyoming,2398.09,6927.00,2.89,2915,631,5,681
Treutlen,Georgia,199.44,6901.00,34.60,1812,837,23,1067
Bon Homme,South Dakota,563.70,6901.00,12.24,2501,1511,26,1771
Huerfano,Colorado,1591.00,6897.00,4.34,2805,327,17,497
Southeast Fairbanks Census Area,Alaska,34239.88,6893.00,0.20,3133,568,3,598
Powell,Montana,2326.39,6890.00,2.96,2909,894,7,964
East Carroll,Louisiana,420.70,6861.00,16.31,2358,1117,23,1347
Ida,Iowa,431.51,6860.00,15.90,2369,863,32,1183
Russell,Kansas,886.26,6856.00,7.74,2663,851,23,1081
Tucker,West Virginia,418.92,6839.00,16.33,2356,512,10,612
Benson,North Dakota,1388.71,6832.00,4.92,2779,1033,18,1213
Saguache,Colorado,3168.53,6824.00,2.15,2973,328,4,368
Pembina,North Dakota,1118.69,6801.00,6.08,2729,768,11,878
Clark,Missouri,504.69,6797.00,13.47,2448,642,7,712
Quitman,Mississippi,405.01,6792.00,16.77,2347,784,16,944
Randolph,Georgia,428.24,6778.00,15.83,2372,618,33,948
Schuyler,Illinois,437.27,6768.00,15.48,2385,685,17,855
Pershing,Nevada,6036.56,6725.00,1.11,3060,943,20,1143
Fall River,South Dakota,1739.92,6713.00,3.86,2845,558,15,708
Beaver,Utah,2589.88,6710.00,2.59,2938,702,6,762
Presidio,Texas,3855.24,6704.00,1.74,3013,804,24,1044
Monroe,Arkansas,607.12,6701.00,11.04,2536,855,15,1005
Blaine,Montana,4227.55,6681.00,1.58,3024,712,24,952
Henderson,Illinois,378.87,6646.00,17.54,2325,512,23,742
Lafayette,Arkansas,528.27,6624.00,12.54,2479,541,9,631
Lac qui Parle,Minnesota,765.02,6623.00,8.66,2621,705,17,875
Stewart,Georgia,458.73,6621.00,14.43,2418,876,22,1096
Hancock,Tennessee,222.34,6620.00,29.77,1932,515,12,635
Pocahontas,Iowa,577.24,6619.00,11.47,2523,823,19,1013
Clinch,Georgia,800.22,6618.00,8.27,2640,934,25,1184
Cumberland,Kentucky,305.18,6614.00,21.67,2180,667,9,757
Brown,Illinois,305.61,6578.00,21.52,2189,677,12,797
Moody,South Dakota,519.39,6576.00,12.66,2475,622,17,792
Gentry,Missouri,491.42,6571.00,13.37,2452,832,21,1042
Kearney,Nebraska,516.24,6495.00,12.58,2476,670,5,720
Menifee,Kentucky,203.59,6489.00,31.87,1872,414,15,564
Moore,Tennessee,129.22,6488.00,50.21,1448,959,17,1129
Buena Vista city,Virginia,6.70,6478.00,966.87,154,861,19,1051
Burt,Nebraska,491.58,6459.00,13.14,2464,645,11,755
Howard,Nebraska,569.34,6445.00,11.32,2527,528,17,698
Wayne,Iowa,525.44,6441.00,12.26,2499,504,21,714
Surry,Virginia,278.95,6422.00,23.02,2127,398,9,488
Pawnee,Kansas,754.26,6414.00,8.50,2630,1143,13,1273
