Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Milwaukee,Wisconsin,241.40,945726.00,3917.67,23,108810,1292,121730
Fairfield,Connecticut,624.89,943332.00,1509.60,97,85225,2097,106195
Shelby,Tennessee,763.17,937166.00,1227.99,124,90110,1546,105570
Gwinnett,Georgia,430.38,936250.00,2175.40,58,95522,1035,105872
Bergen,New Jersey,233.01,932202.00,4000.70,22,86106,2690,113006
DuPage,Illinois,327.50,922921.00,2818.08,36,79898,1306,92958
Erie,New York,1042.69,918702.00,881.09,166,69936,1637,86306
Prince George's,Maryland,482.69,909327.00,1883.87,70,76225,1370,89925
Pierce,Washington,1669.51,904980.00,542.06,249,40825,597,46795
Kern,California,8131.92,900202.00,110.70,821,105441,1152,116961
Hartford,Connecticut,735.10,891720.00,1213.06,126,73092,2333,96422
Denton,Texas,878.43,887207.00,1009.99,149,70885,707,77955
San Francisco,California,46.87,881549.00,18808.38,2,34939,461,39549
Macomb,Michigan,479.22,873972.00,1823.74,73,64963,2011,85073
Hidalgo,Texas,1570.87,868707.00,553.01,241,83401,2732,110721
New Haven,Connecticut,604.51,854757.00,1413.97,106,76466,1980,96266
Ventura,California,1843.13,846006.00,459.01,284,79090,943,88520
El Paso,Texas,935.49,839238.00,897.11,165,127824,2519,153014
Montgomery,Pennsylvania,483.04,830915.00,1720.18,78,57387,1591,73297
Worcester,Massachusetts,1510.77,830622.00,549.80,243,68499,2111,89609
Baltimore,Maryland,598.30,827370.00,1382.87,109,53663,1344,67103
Middlesex,New Jersey,308.91,825062.00,2670.88,42,79134,2177,100904
Snohomish,Washington,2087.27,822083.00,393.86,331,31962,552,37482
Hamilton,Ohio,405.91,817473.00,2013.93,65,75305,1126,86565
Multnomah,Oregon,431.30,812855.00,1884.66,69,32663,564,38303
Fort Bend,Texas,861.48,811688.00,942.20,157,61922,615,68072
Suffolk,Massachusetts,58.15,803907.00,13824.71,4,81994,1763,99624
Essex,New Jersey,126.21,798975.00,6330.52,12,80358,2744,107798
Oklahoma,Oklahoma,708.82,797434.00,1125.02,134,82710,810,90810
Essex,Massachusetts,492.56,789034.00,1601.90,90,87031,2247,109501
Lee,Florida,784.51,770577.00,982.24,150,60771,906,69831
Jefferson,Kentucky,380.42,766757.00,2015.55,64,76775,1023,87005
San Mateo,California,448.41,766573.00,1709.54,79,39893,543,45323
San Joaquin,California,1391.32,762148.00,547.79,245,68714,1229,81004
Cobb,Georgia,339.55,760141.00,2238.67,56,72773,960,82373
DeKalb,Georgia,267.58,759297.00,2837.64,35,60200,903,69230
Monroe,New York,657.21,741770.00,1128.67,133,54935,1011,65045
Denver,Colorado,153.00,727211.00,4753.01,17,62475,779,70265
Polk,Florida,1797.84,724777.00,403.14,318,59654,1218,71834
El Paso,Colorado,1850.85,720403.00,389.23,339,54889,753,62419
Norfolk,Massachusetts,396.11,706775.00,1784.29,75,48183,1692,65103
District of Columbia,District of Columbia,61.05,705749.00,11560.18,6,43175,1049,53665
Lake,Illinois,443.67,696535.00,1569.94,91,61293,1017,71463
Davidson,Tennessee,504.03,694144.00,1377.19,110,92607,881,101417
Will,Illinois,836.91,690743.00,825.35,175,67206,1005,77256
Bernalillo,New Mexico,1160.83,679121.00,585.03,229,53999,894,62939
Hudson,New Jersey,46.19,672391.00,14557.07,3,75757,2079,96547
Jefferson,Alabama,1111.28,658573.00,592.63,225,74013,1442,88433
Kent,Michigan,846.95,656955.00,775.67,189,53884,726,61144
Arapahoe,Colorado,798.10,656590.00,822.69,176,51616,711,58726
Tulsa,Oklahoma,570.25,651552.00,1142.57,131,72005,761,79615
Providence,Rhode Island,409.50,638931.00,1560.27,93,86088,1882,104908
Utah,Utah,2003.45,636235.00,317.57,395,92134,353,95664
Bucks,Pennsylvania,604.31,628270.00,1039.65,144,48358,1164,59998
Monmouth,New Jersey,468.79,618795.00,1319.98,113,63919,1468,78599
Montgomery,Texas,1041.74,607391.00,583.05,233,48064,498,53044
Ocean,New Jersey,628.78,607186.00,965.66,156,64706,1950,84206
Johnson,Kansas,473.38,602401.00,1272.55,119,55557,644,61997
Brevard,Florida,1015.66,601942.00,592.66,224,36142,789,44032
Washington,Oregon,724.23,601592.00,830.66,172,21884,221,24094
Baltimore city,Maryland,80.94,593490.00,7332.47,9,42571,926,51831
Williamson,Texas,1118.30,590551.00,528.08,258,42326,437,46696
Jefferson,Colorado,764.21,582881.00,762.72,192,39306,730,46606
Anne Arundel,Maryland,414.90,579234.00,1396.08,108,37643,558,43223
Douglas,Nebraska,328.46,571327.00,1739.41,77,65383,679,72173
Delaware,Pennsylvania,183.84,566747.00,3082.83,28,43081,1322,56301
Bristol,Massachusetts,553.10,565217.00,1021.91,146,57960,1589,73850
New Castle,Delaware,426.29,558753.00,1310.73,115,53323,756,60883
Union,New Jersey,102.86,556341.00,5408.72,14,61390,1829,79680
Pasco,Florida,746.89,553947.00,741.67,196,35248,680,42048
Volusia,Florida,1101.03,553284.00,502.51,268,36590,697,43560
Stanislaus,California,1494.83,550660.00,368.38,357,58140,979,67930
Ramsey,Minnesota,152.21,550321.00,3615.54,26,44214,833,52544
Dane,Wisconsin,1197.24,546695.00,456.63,287,43074,311,46184
Lancaster,Pennsylvania,943.81,545724.00,578.21,234,46125,1073,56855
Summit,Ohio,412.75,541013.00,1310.75,114,41997,879,50787
Guilford,North Carolina,645.70,537174.00,831.93,171,41677,584,47517
Kane,Illinois,520.06,532403.00,1023.73,145,51996,789,59886
Montgomery,Ohio,461.55,531687.00,1151.96,129,48125,969,57815
Chester,Pennsylvania,750.51,524989.00,699.51,204,32487,746,39947
Greenville,South Carolina,785.12,523542.00,666.83,209,67271,925,76521
Spokane,Washington,1763.79,522798.00,296.41,414,38442,585,44292
Plymouth,Massachusetts,659.08,521202.00,790.80,182,42524,1355,56074
Adams,Colorado,1167.65,517421.00,443.13,295,51273,639,57663
Sedgwick,Kansas,997.51,516042.00,517.33,265,54455,567,60125
Camden,New Jersey,221.26,506471.00,2289.03,52,46885,1213,59015
Passaic,New Jersey,184.59,501826.00,2718.60,40,61482,1761,79092
Sonoma,California,1575.85,494336.00,313.69,402,28932,308,32012
Kansas City,Missouri,319.00,491918.00,1542.06,95,42172,546,47632
